Admin2,Date,Case,Country/Region,Province/State
Uvalde,2020-08-12,556,US,Texas
Boyle,2021-12-10,5713,US,Kentucky
Chattahoochee,2021-11-20,6025,US,Georgia
Houston,2022-01-06,28983,US,Georgia
Winston,2020-05-15,26,US,Alabama
Rio Arriba,2021-06-09,3712,US,New Mexico
Gratiot,2020-03-24,0,US,Michigan
Yell,2020-04-28,3,US,Arkansas
Dorchester,2022-04-02,7705,US,Maryland
McCulloch,2020-06-21,6,US,Texas
Monroe,2020-10-10,1927,US,Florida
Monroe,2021-06-16,4737,US,Wisconsin
Sioux,2020-02-03,0,US,Nebraska
Rappahannock,2021-04-18,331,US,Virginia
Uintah,2021-11-21,0,US,Utah
Crawford,2022-03-17,5370,US,Missouri
Madison,2022-04-11,9681,US,Nebraska
Ross,2021-06-10,6927,US,Ohio
Ford,2021-04-29,1731,US,Illinois
Madison,2020-02-19,0,US,Missouri
Rawlins,2021-07-04,333,US,Kansas
Hot Springs,2021-03-15,361,US,Wyoming
Jefferson,2021-01-02,31498,US,Louisiana
Harrison,2020-09-13,164,US,Kentucky
Ralls,2020-10-26,202,US,Missouri
Harrison,2021-08-30,29387,US,Mississippi
Irion,2021-04-13,119,US,Texas
Kendall,2021-09-08,14867,US,Illinois
Los Angeles,2020-09-01,242521,US,California
Roscommon,2020-09-29,103,US,Michigan
McMinn,2020-11-24,2362,US,Tennessee
Drew,2022-01-06,3226,US,Arkansas
Delaware,2022-04-03,24787,US,Indiana
Imperial,2020-05-14,652,US,California
Hot Springs,2020-12-23,214,US,Wyoming
Lawrence,2021-07-28,7858,US,Pennsylvania
Pacific,2022-03-19,3368,US,Washington
Unassigned,2020-08-01,0,US,Kansas
Blaine,2021-05-06,1042,US,Oklahoma
Lee,2022-01-05,10718,US,North Carolina
Unassigned,2021-01-31,27356,US,Massachusetts
Scotland,2021-08-19,311,US,Missouri
Hartley,2021-08-28,894,US,Texas
Wolfe,2021-03-06,442,US,Kentucky
Inyo,2022-01-17,3815,US,California
Perry,2021-04-13,1052,US,Tennessee
Camas,2021-11-15,107,US,Idaho
Green Lake,2021-09-23,2561,US,Wisconsin
Bradford,2021-04-30,5668,US,Pennsylvania
Thayer,2021-11-11,726,US,Nebraska
Simpson,2021-09-28,3000,US,Kentucky
Edwards,2020-01-28,0,US,Illinois
Vanderburgh,2021-08-22,25665,US,Indiana
Rush,2020-03-02,0,US,Kansas
Taylor,2020-03-21,0,US,Texas
Humboldt,2022-02-04,4235,US,Nevada
Escambia,2020-08-17,1254,US,Alabama
Rock,2020-05-10,19,US,Minnesota
Clark,2020-02-27,0,US,Ohio
Carbon,2021-04-11,1525,US,Wyoming
Pulaski,2021-07-25,4079,US,Missouri
Out of IA,2020-03-28,0,US,Iowa
Stanton,2021-06-15,372,US,Nebraska
Red River,2022-01-30,1905,US,Louisiana
Salinas,2021-05-28,740,US,Puerto Rico
Jackson,2021-12-08,125,US,Colorado
Greer,2021-11-13,756,US,Oklahoma
Benton,2021-08-02,1072,US,Mississippi
St. Lawrence,2021-09-25,9072,US,New York
Pope,2020-03-17,0,US,Minnesota
Richland,2020-10-21,231,US,Montana
Dickson,2021-03-28,6559,US,Tennessee
Camden,2020-02-05,0,US,Georgia
Washita,2021-11-23,1586,US,Oklahoma
Missaukee,2021-08-31,1557,US,Michigan
Corson,2020-05-01,1,US,South Dakota
Suffolk,2020-07-25,42822,US,New York
Henry,2020-07-20,204,US,Alabama
Sargent,2022-02-24,998,US,North Dakota
Martin,2022-01-02,2228,US,Kentucky
Orleans,2020-11-30,142,US,Vermont
Gibson,2021-08-15,4886,US,Indiana
Swain,2021-08-27,1463,US,North Carolina
Osborne,2021-03-15,287,US,Kansas
Mitchell,2020-03-31,0,US,Texas
Johnston,2020-01-28,0,US,Oklahoma
Bannock,2020-04-17,8,US,Idaho
Oklahoma,2021-01-17,68940,US,Oklahoma
Rockland,2021-10-11,52412,US,New York
Jerauld,2021-08-04,282,US,South Dakota
Carroll,2020-04-16,3,US,Virginia
White Pine,2020-06-07,3,US,Nevada
Amherst,2022-02-10,6552,US,Virginia
Price,2021-01-24,1158,US,Wisconsin
Swain,2020-08-15,120,US,North Carolina
Grant,2022-01-21,3199,US,West Virginia
Sibley,2021-08-09,1498,US,Minnesota
Spencer,2021-06-22,2346,US,Indiana
Beauregard,2021-04-17,3116,US,Louisiana
Benton,2021-03-26,964,US,Mississippi
Jackson,2020-03-25,2,US,West Virginia
Broomfield,2021-10-25,6638,US,Colorado
Garfield,2020-04-26,11,US,Oklahoma
Bear Lake,2021-04-16,376,US,Idaho
Edgar,2021-09-27,2384,US,Illinois
Canovanas,2021-09-21,2572,US,Puerto Rico
Mariposa,2020-11-03,81,US,California
Lycoming,2020-07-03,194,US,Pennsylvania
Out of VA,2021-04-02,0,US,Virginia
Miller,2020-03-04,0,US,Arkansas
Cimarron,2021-03-05,198,US,Oklahoma
Golden Valley,2020-04-28,3,US,Montana
Ray,2021-10-02,2843,US,Missouri
Big Horn,2020-07-02,20,US,Wyoming
Arecibo,2021-08-27,3512,US,Puerto Rico
Crawford,2020-04-29,58,US,Michigan
Cumberland,2020-05-03,12,US,Virginia
Moore,2020-06-15,890,US,Texas
Rosebud,2021-05-25,1228,US,Montana
Mitchell,2021-04-04,2014,US,Georgia
Upson,2020-08-22,655,US,Georgia
Gray,2021-10-14,817,US,Kansas
Brown,2021-04-19,220,US,Nebraska
Bronx,2020-02-01,0,US,New York
Lynn,2020-08-11,42,US,Texas
Marin,2021-12-17,19119,US,California
Martin,2020-05-08,7,US,Indiana
Monroe,2020-10-20,152,US,Ohio
Unassigned,2021-12-24,1717,US,Connecticut
Jasper,2021-05-19,1153,US,Illinois
Yates,2021-04-15,1101,US,New York
Laurel,2020-09-23,802,US,Kentucky
Duchesne,2020-05-05,0,US,Utah
Haskell,2020-11-06,134,US,Texas
Catron,2022-02-10,395,US,New Mexico
Delaware,2021-02-25,9815,US,Indiana
Pershing,2022-03-24,2127,US,Nevada
Bureau,2020-03-06,0,US,Illinois
Mason,2022-03-21,780,US,Texas
Tooele,2021-01-22,5677,US,Utah
Lincoln,2020-08-16,62,US,Idaho
Wheeler,2020-04-23,3,US,Georgia
Grayson,2022-03-25,4035,US,Virginia
Bates,2021-07-09,1375,US,Missouri
Barnwell,2021-05-08,2570,US,South Carolina
Wayne,2021-03-31,3374,US,Pennsylvania
Wayne,2020-06-05,0,US,Missouri
Waseca,2020-05-07,12,US,Minnesota
Norman,2020-03-25,0,US,Minnesota
Culebra,2021-10-08,51,US,Puerto Rico
Crittenden,2022-02-09,1914,US,Kentucky
,2020-10-21,1337,US,Virgin Islands
Garvin,2021-03-20,3505,US,Oklahoma
Calcasieu,2022-04-05,51752,US,Louisiana
Montgomery,2020-01-22,0,US,Indiana
Frederick,2020-02-25,0,US,Maryland
Decatur,2020-02-14,0,US,Georgia
Carolina,2022-04-04,25798,US,Puerto Rico
Cherokee,2020-05-26,33,US,Alabama
Broome,2020-03-22,3,US,New York
Mobile,2020-04-18,617,US,Alabama
Macon,2020-08-29,204,US,Georgia
McClain,2021-08-14,5911,US,Oklahoma
Alfalfa,2020-12-12,589,US,Oklahoma
Chickasaw,2020-12-16,978,US,Iowa
Lee,2020-07-01,1263,US,Alabama
Montgomery,2021-12-06,81160,US,Ohio
Shoshone,2021-09-16,1653,US,Idaho
El Paso,2020-03-05,0,US,Texas
Gregg,2021-08-08,10554,US,Texas
Michigan Department of Corrections (MDOC),2021-06-22,26896,US,Michigan
Kaufman,2020-09-25,2878,US,Texas
Henderson,2020-08-19,407,US,Texas
Clinton,2022-02-09,20178,US,Michigan
Fayette,2020-05-22,107,US,Tennessee
Rockdale,2021-06-11,7835,US,Georgia
